田舎に人はいなかった,いなか に ひとは いなかった
いなりのいいなり,いなり の いいなり
犬が緊張でドッグドッグしてる,いぬ が きんちょう で ドッグ ドッグ してる
稲が長いね,いね が ながい ね
井の頭に行っていいのかしら,いのかしら に いって いいの かしら
# 違反しちゃ、いやーん,いはん しちゃ、いやーん
縁起のいい服を着ていい福を呼ぶ,えんぎ の いい ふく を きて いい ふく を よぶ
イブだからドライブ,イブ だから ドライブ
イベントをいっぺんどう？,イベント を いっぺん どう？
イボができたのは誰かの陰謀だ,イボ が できた のは だれか の いんぼう だ
居間にいません,いま に いません
# イメージがいい明治,イメージ が いい めいじ
# イモがなくてもいいもん,イモ が なくても いい もん
癒しを求める卑しい人,いやし を もとめる いやしい ひと
イヨカンでいい予感,イヨカン で いい よかん
イルカはいるか,イルカ は いるか
居留守なので本当はいるっす,いるす なので ほんとう は いるっす
# 岩はいーわ,いわ は いーわ
イワシについて言わしてくれ,イワシ に ついて いわして くれ
イワナのことは言わない,イワナ の こと は いわない
岩場だけに岩ばっかり,いわば だけに いわ ばっかり
印鑑でないといんかん,いんかん でない と いんかん
インゲンだけに威厳がある,インゲン だけに いげん がある
インコを見にいんこ,インコ を みに いんこ
# 飲酒していいんしゅか？,いんしゅ して いい んしゅか？
# 印象がいいんしょ,いんしょう が いい んしょ
インドにいんどー,インド に いんどー
インドネシアにインドアなしや,インドネシア に インドア なし や
インド洋でいい土曜,インド よう で いい どよう
因縁つけるひとがいんねん,いんねん つける ひと が いんねん
# ウーロン茶を売ーるんじゃ,ウーロン ちゃ を うーる んじゃ
ウォッカを買おっか,ウォッカ を かおっか
うさぎにだまされた「う、さぎにやられた」,うさぎ に だまされた「う、さぎ に やられた」
牛が後ろに,うし が うしろ に
牛の笑い声はウッシッシ,うし の わらい ごえ は ウッシッシ
渦にうずうず,うず に うずうず
# うずらがうっずら見切れている,うずら が うっずら みきれている
うずらが可愛くて、うすらわらい,うずら が かわいくて、うすら わらい
内股をおもいっきりうっちまった,うちまた を おもいっきり うっち まった
うちわで内輪もめ,うちわ で うちわ もめ
腕がチガウで,うで が チガウ で
雨天なので運転,うてん なので うんてん
# ウッドにうっどり,ウッド に うっどり
ウツボの思う壺,ウツボ の おもう つぼ
うでを組んでいこうで,うで を くんで いこう で
# うどですか？うーどうだろう,うど ですか？うー どう だろう
うどんを食うどん,うどん を くう どん
うなぎの野郎、うらぎった,うなぎ の やろう、うらぎった
うにが食べられるように,うに が たべられる ように
このウニ、おいしそうに見える,この ウニ、おいしそう に みえる
ウニがおいしくていっこうに飽きない,ウニ が おいしくて いっこうに あきない
馬がうまる,うま が うまる
馬は意外とうまい,うま は いがい と うまい
うめがうめー,うめ が うめー
ウメソーダがすげーうめーそーだ,ウメソーダ が すげー うめー そーだ
ウレタンは売れたん？,ウレタン は うれたん？
右腕に向かって犬が「うー、わん」,うわん に むかって いぬ が「うー、わん」
運休か。うん、急になった,うんきゅう か。うん、きゅう に なった
うんこしなさい。うん、ここで？,うんこ しなさい。うん、ここで？
# 運動場に行っていいですか？うん、どうじょ,うんどうじょう に いって いい ですか？うん、どうじょ
# A級に永久にいる,えー きゅう に えいきゅう に いる
# A型でえがった,えー がた で えがった
# エイがイェーイ,えい が イェーイ
エイがエイ！と力いれる,エイ が エイ！ と ちから いれる
映画がえがった,えいが が えがった
映画を無理にディスらなくてもええがな,えいが を むりに ディス らなくても ええがな
# 永久にええ給料,えいきゅう に ええ きゅうりょう
